tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,plot,budget,box_office,language,country
tt0185183,movie,Battlefield Earth,Battlefield Earth,0,2000.0,117.0,"Action,Adventure,Sci-Fi",2.5,85779,"['nm0000237', 'nm0001845', 'nm0001608', 'nm0167649', 'nm0005075']","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",$44 million,$29.7 million,English,United States
tt0090859,movie,Cobra,Cobra,0,1986.0,87.0,"Action,Crime,Thriller",5.8,85765,"['nm0000230', 'nm0000557', 'nm0763858', 'nm0732367', 'nm0859921']",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,,,,
tt1674771,movie,Entourage,Entourage,0,2015.0,104.0,"Comedy,Drama",6.5,85760,"['nm0004978', 'nm0175305', 'nm1483196', 'nm0001143', 'nm0005315']","Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",$27–39 million,$49.3 million,English,United States
tt15428134,movie,Dunki,Dunki,0,2023.0,160.0,"Action,Adventure,Comedy",6.5,85751,"['nm3966456', 'nm15687924', 'nm15687925', 'nm15687926', 'nm0080409']","When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.",₹85–120 crore,est. ₹470.6 crore,Hindi,India
tt7282468,movie,Burning,Beoning,0,2018.0,148.0,"Drama,Mystery,Thriller",7.4,85743,"['nm2584860', 'nm3081796', 'nm9311474', 'nm9940627', 'nm8639907']","Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",,,,
tt0477071,movie,Premonition,Premonition,0,2007.0,96.0,"Drama,Fantasy,Mystery",5.9,85724,"['nm0000113', 'nm0573037', 'nm0005520', 'nm2182034', 'nm1212588']",A woman has a precognitive vision of her husband's death.,,,,
tt0112722,movie,Copycat,Copycat,0,1995.0,123.0,"Drama,Mystery,Thriller",6.6,85693,"['nm0000244', 'nm0000456', 'nm0000551', 'nm0001530', 'nm0001065']",A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,,,,
tt0111507,movie,Three Colors: White,Trois couleurs: Blanc,0,1994.0,92.0,"Comedy,Drama,Romance",7.6,85636,"['nm0952498', 'nm0000365', 'nm0301515', 'nm0836136', 'nm0054270']","After his wife divorces him, a Polish immigrant plots to get even with her.",,$1.4 million,Polish[2]French[3],
tt0335119,movie,Girl with a Pearl Earring,Girl with a Pearl Earring,0,2003.0,100.0,"Biography,Drama,Romance",6.9,85609,"['nm0424060', 'nm0000147', 'nm0929489', 'nm0661407', 'nm0614165']",A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,£10 million,$31.4 million,English,
tt2002718,movie,Machete Kills,Machete Kills,0,2013.0,107.0,"Action,Comedy,Crime",5.6,85546,"['nm0001803', 'nm0891786', 'nm0000154', 'nm0004695', 'nm0065007']",The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,$20 million,$17.5 million,"English
Spanish",United States
